scenario,cop_usd,home_usd,bank_cop_usd,total_cop_usd,usd_net_worth_val,combined_nw,usd_vs_estate_goal,combined_vs_goal,home_delta_vs_base,cop_reserve_18mo_usd,fogafin_cap_usd
"Base (3,200)",3200,375000,9375,384375,557994,942369,57994,442369,0,19603,15625
"Stress 1 (3,600)",3600,333333.3333333333,8333.333333333334,341666.6666666666,557994,899660.6666666666,57994,399660.6666666666,-41666.666666666686,17424.88888888889,13888.888888888889
"Stress 2 (4,500)",4500,266666.6666666667,6666.666666666667,273333.3333333334,557994,831327.3333333334,57994,331327.3333333334,-108333.33333333331,13939.91111111111,11111.111111111111
