symbol,country_or_region,category,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket
VNM,Vietnam,Country ETF,0.034184939402298116,0.23533634686168659,0.14525992205695923,-0.5166774402332851,NA,0.7,0.5,0.4,0.5499999999999999,2.8,2.5,3.8,3.5,2.7499999999999996,2.8,2.5,3.8,3.5,2.9824999999999995,Watchlist or tactical
EWI,Italy,Country ETF,0.12933729159926188,0.2341603848152751,0.552344888317867,-0.42998299845405985,NA,0.4,0.5,0.7,0.52,2.8,2.5,3.8,3.5,2.6,2.8,2.5,3.8,3.5,2.945,Watchlist or tactical
EWP,Spain,Country ETF,0.10546733949097298,0.2223377279182662,0.47435646877593324,-0.4636175870410857,NA,0.4,0.5,0.7,0.52,2.8,2.5,3.8,3.5,2.6,2.8,2.5,3.8,3.5,2.945,Watchlist or tactical
EWY,South Korea,Country ETF,0.16577397005921035,0.2871998728108979,0.5772076722623116,-0.49734175152369464,NA,0.4,0.5,0.7,0.52,2.8,2.5,3.8,3.5,2.6,2.8,2.5,3.8,3.5,2.945,Watchlist or tactical
MCHI,China,Country ETF,0.06149350234795225,0.272787954920199,0.22542601767714218,-0.6283626199363892,NA,0.7,0.5,0.2,0.48999999999999994,2.8,2.5,3.8,3.5,2.4499999999999997,2.8,2.5,3.8,3.5,2.9074999999999998,Watchlist or tactical
ECH,Chile,Country ETF,0.06568959470093992,0.2632670660234906,0.2495169475359999,-0.668939382145141,NA,0.7,0.5,0.2,0.48999999999999994,2.8,2.5,3.8,3.5,2.4499999999999997,2.8,2.5,3.8,3.5,2.9074999999999998,Watchlist or tactical
TUR,Turkey,Country ETF,0.055036578857338474,0.3396917353450625,0.16201918719462435,-0.6501708109088933,NA,0.7,0.5,0.2,0.48999999999999994,2.8,2.5,3.8,3.5,2.4499999999999997,2.8,2.5,3.8,3.5,2.9074999999999998,Watchlist or tactical
EZA,South Africa,Country ETF,0.10248624584652365,0.3155253554673305,0.32481144247418514,-0.6225206830118222,NA,0.4,0.5,0.2,0.37000000000000005,2.8,2.5,4,3.5,1.8500000000000003,2.8,2.5,4,3.5,2.7875,Watchlist or tactical
ARGT,Argentina,Country ETF,0.19509497835272077,0.30547615109162163,0.6386586241038693,-0.6167930370536663,NA,0.4,0.5,0.2,0.37000000000000005,2.8,2.5,3.8,3.5,1.8500000000000003,2.8,2.5,3.8,3.5,2.7575,Watchlist or tactical
EPOL,Poland,Country ETF,0.11880991559661647,0.27139036796604543,0.4377823593631782,-0.6140355100880381,NA,0.4,0.5,0.2,0.37000000000000005,2.8,2.5,3.8,3.5,1.8500000000000003,2.8,2.5,3.8,3.5,2.7575,Watchlist or tactical
GREK,Greece,Country ETF,0.1451458346360555,0.3359794864120575,0.43200802580560926,-0.630236497832403,NA,0.4,0.5,0.2,0.37000000000000005,2.8,2.5,3.8,3.5,1.8500000000000003,2.8,2.5,3.8,3.5,2.7575,Watchlist or tactical
