symbol,country_or_region,category,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket
INDA,India,Country ETF,0.07250824869932382,0.21118609345064243,0.3433381787341511,-0.4506711952750755,0.06304402093220024,1,0.3,0.7,0.7,3.8,4,4,3.5,3.5,3.8,4,4,3.5,3.75,"Attractive, monitor closely"
VWO,Emerging markets,Benchmark,0.08275460513258555,0.19536824727508506,0.4235826767492277,-0.3639234932240236,0.0787853301594956,1,0.3,1,0.79,3.5,3.3,4,4,3.95,3.5,3.3,4,4,3.7225,"Attractive, monitor closely"
EWJ,Japan,Country ETF,0.10026696391237018,0.17769480000256727,0.5642650427076176,-0.33144059401005244,0.12734839592103195,1,0.3,1,0.79,3.2,3.5,4,3.5,3.95,3.2,3.5,4,3.5,3.6125000000000003,"Attractive, monitor closely"
VEA,Developed markets ex-U.S.,Benchmark,0.09928394077302592,0.17357703497483323,0.5719877677794243,-0.357350799533122,0.0937126613512417,1,0.3,1,0.79,2.8,2.5,4.2,4,3.95,2.8,2.5,4.2,4,3.4175,Watchlist or tactical
EWQ,France,Country ETF,0.09760814983570222,0.20601773013080069,0.4737851920498823,-0.3922936584784199,0.057385549166158435,1,0.3,1,0.79,2.8,2.5,3.8,3.5,3.95,2.8,2.5,3.8,3.5,3.2824999999999998,Watchlist or tactical
EWL,Switzerland,Country ETF,0.0898934860517826,0.1631779199250774,0.550892462001335,-0.2899384042914843,0.07882471966690409,1,0.3,1,0.79,2.8,2.5,3.8,3.5,3.95,2.8,2.5,3.8,3.5,3.2824999999999998,Watchlist or tactical
EWU,United Kingdom,Country ETF,0.07973370251481965,0.18799248291424053,0.42413239762992555,-0.43330462593360397,0.062059368386419074,1,0.3,0.7,0.7,2.8,2.8,3.8,3.5,3.5,2.8,2.8,3.8,3.5,3.2299999999999995,Watchlist or tactical
EWG,Germany,Country ETF,0.0832426470187904,0.20939686849133596,0.3975353004012792,-0.4680091878791317,0.055337475076182766,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
EWS,Singapore,Country ETF,0.07743274708003421,0.1803196060288696,0.42941945573925583,-0.40837879295886925,0.04306213700052302,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
EWH,Hong Kong,Country ETF,0.06008012251605773,0.19616665742145348,0.30627081740491113,-0.4271188498538878,0.029473933872023534,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
KSA,Saudi Arabia,Country ETF,0.0781479555010163,0.20158775829757308,0.38766220806750806,-0.405613676657973,0.049140726785441985,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
QAT,Qatar,Country ETF,0.028703465995911802,0.1828592138721373,0.15697030184096958,-0.4028876214023468,0.022247894932573176,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
THD,Thailand,Country ETF,0.04645828280235433,0.21497283884835772,0.2161123379643607,-0.49317865591552257,0.09486799341545663,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
EWM,Malaysia,Country ETF,0.022560191211554524,0.17342662876554357,0.13008493200922316,-0.4424805223168038,0.0358413516647944,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
SPY,United States,Benchmark,0.14421070542855263,0.1754840335527162,0.821788184993087,-0.3371725882604556,NA,0.5,0.5,1,0.6499999999999999,2.5,2.5,4.2,4,3.2499999999999996,2.5,2.5,4.2,4,3.1675,Watchlist or tactical
UAE,United Arab Emirates,Country ETF,0.06709527294601124,0.20652076320439147,0.32488390951571167,-0.5327200865072572,0.026165500717214567,1,0.3,0.4,0.61,2.8,2.5,3.8,3.5,3.05,2.8,2.5,3.8,3.5,3.0574999999999997,Watchlist or tactical
EPHE,Philippines,Country ETF,-0.0044960146605918,0.2210220169047738,-0.02034193119560973,-0.5382072521534154,0.030576744923626525,1,0.3,0.4,0.61,2.8,2.5,3.8,3.5,3.05,2.8,2.5,3.8,3.5,3.0574999999999997,Watchlist or tactical
EWT,Taiwan,Country ETF,0.18408645113449004,0.221683138656708,0.8304034860294942,-0.38881518054590336,0.1465688128133682,0.5,0.3,1,0.5900000000000001,2.8,2.5,3.8,3.5,2.95,2.8,2.5,3.8,3.5,3.0324999999999998,Watchlist or tactical
EWA,Australia,Country ETF,0.08949711602389124,0.2274080007959411,0.3935530663417566,-0.4553950724369379,0.03774501425494504,0.7,0.3,0.7,0.58,2.8,2.5,3.8,3.5,2.9,2.8,2.5,3.8,3.5,3.0199999999999996,Watchlist or tactical
EWZ,Brazil,Country ETF,0.11263677473693849,0.34532281292404216,0.3261782034704851,-0.5699235245138179,0.0492588852912638,0.4,0.3,0.4,0.37,3,3.2,4,3.5,1.85,3,3.2,4,3.5,2.9775,Watchlist or tactical
EWN,Netherlands,Country ETF,0.1324547824935853,0.21183468140698686,0.6252743017046717,-0.435649860406112,0.0879754255949884,0.5,0.3,0.7,0.5,2.8,2.5,3.8,3.5,2.5,2.8,2.5,3.8,3.5,2.92,Watchlist or tactical
EWC,Canada,Country ETF,0.10154789682560791,0.18850252794624495,0.5387084084865229,-0.4265757130770871,0.07906103667854772,0.5,0.3,0.7,0.5,2.8,2.5,3.8,3.5,2.5,2.8,2.5,3.8,3.5,2.92,Watchlist or tactical
EWW,Mexico,Country ETF,0.07664841021451126,0.24793899906165642,0.3091422104009166,-0.5398749863609928,0.09628588546891473,0.7,0.3,0.4,0.49,2.8,2.5,3.8,3.5,2.45,2.8,2.5,3.8,3.5,2.9074999999999998,Watchlist or tactical
EIDO,Indonesia,Country ETF,-0.01009681980970605,0.25451595910694724,-0.03967067466077198,-0.5941085490304101,0.01637149001176246,0.7,0.3,0.4,0.49,2.8,2.5,3.8,3.5,2.45,2.8,2.5,3.8,3.5,2.9074999999999998,Watchlist or tactical
VNM,Vietnam,Country ETF,0.03526471338182273,0.2353473430131835,0.14984113663797471,-0.5166773397060781,0.023145898074358417,0.7,0.3,0.4,0.49,2.8,2.5,3.8,3.5,2.45,2.8,2.5,3.8,3.5,2.9074999999999998,Watchlist or tactical
EWI,Italy,Country ETF,0.12768493658589622,0.23413194355224262,0.5453546177794636,-0.42998287627221954,0.07883784616390571,0.4,0.3,0.7,0.45999999999999996,2.8,2.5,3.8,3.5,2.3,2.8,2.5,3.8,3.5,2.8699999999999997,Watchlist or tactical
EWP,Spain,Country ETF,0.10431627899441497,0.2223407260799808,0.46917306079539445,-0.4636174760888421,0.07953367070183498,0.4,0.3,0.7,0.45999999999999996,2.8,2.5,3.8,3.5,2.3,2.8,2.5,3.8,3.5,2.8699999999999997,Watchlist or tactical
EWY,South Korea,Country ETF,0.16212424262032027,0.286977485350778,0.5649371497633437,-0.49734179554390523,0.23803646756219726,0.4,0.3,0.7,0.45999999999999996,2.8,2.5,3.8,3.5,2.3,2.8,2.5,3.8,3.5,2.8699999999999997,Watchlist or tactical
MCHI,China,Country ETF,0.060014364053708504,0.27278736294676775,0.22000419449569525,-0.628362597316547,0.06967401373881979,0.7,0.3,0.2,0.43,2.8,2.5,3.8,3.5,2.15,2.8,2.5,3.8,3.5,2.8324999999999996,Watchlist or tactical
ECH,Chile,Country ETF,0.06460532711094176,0.26328568321434587,0.24538108689466923,-0.6689393667643323,0.051792724909730165,0.7,0.3,0.2,0.43,2.8,2.5,3.8,3.5,2.15,2.8,2.5,3.8,3.5,2.8324999999999996,Watchlist or tactical
TUR,Turkey,Country ETF,0.054228705450576294,0.3397382313325173,0.15961908448713913,-0.6501710340797424,0.04894379427300501,0.7,0.3,0.2,0.43,2.8,2.5,3.8,3.5,2.15,2.8,2.5,3.8,3.5,2.8324999999999996,Watchlist or tactical
EZA,South Africa,Country ETF,0.10284600369178137,0.31557652842045014,0.3258987739251545,-0.6225208123561701,0.08991846767614387,0.4,0.3,0.2,0.31,2.8,2.5,4,3.5,1.55,2.8,2.5,4,3.5,2.7125,Weak thesis
ARGT,Argentina,Country ETF,0.19519825291716297,0.3055277534454375,0.6388887775853802,-0.6167930629106827,0.12134858014272815,0.4,0.3,0.2,0.31,2.8,2.5,3.8,3.5,1.55,2.8,2.5,3.8,3.5,2.6824999999999997,Weak thesis
EPOL,Poland,Country ETF,0.1164216747142033,0.2713136500854972,0.4291036395607672,-0.614035469828808,0.0583045592105279,0.4,0.3,0.2,0.31,2.8,2.5,3.8,3.5,1.55,2.8,2.5,3.8,3.5,2.6824999999999997,Weak thesis
GREK,Greece,Country ETF,0.144219321143068,0.3360215557868038,0.4291966353330353,-0.6302364084130899,0.11171210868615314,0.4,0.3,0.2,0.31,2.8,2.5,3.8,3.5,1.55,2.8,2.5,3.8,3.5,2.6824999999999997,Weak thesis
