symbol,country_or_region,category,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket
UAE,United Arab Emirates,Country ETF,0.06763063732918739,0.20649383176568548,0.3275189227246741,-0.5327200888170589,0.02593406524362299,1,0.3,0.4,0.61,2.8,2.5,3.8,3.5,3.05,2.8,2.5,3.8,3.5,3.0574999999999997,Watchlist or tactical
EPHE,Philippines,Country ETF,-0.004421013250347632,0.22098453004180857,-0.020005985258385327,-0.5382072442669017,0.0301357459158919,1,0.3,0.4,0.61,2.8,2.5,3.8,3.5,3.05,2.8,2.5,3.8,3.5,3.0574999999999997,Watchlist or tactical
EWT,Taiwan,Country ETF,0.1870898237676776,0.22188315483223212,0.8431907501456698,-0.3888150998580626,0.14950226165436126,0.5,0.3,1,0.5900000000000001,2.8,2.5,3.8,3.5,2.95,2.8,2.5,3.8,3.5,3.0324999999999998,Watchlist or tactical
EWA,Australia,Country ETF,0.09032985319489995,0.22738712184335527,0.39725140308133755,-0.45539491286357014,0.03754363402136696,0.7,0.3,0.7,0.58,2.8,2.5,3.8,3.5,2.9,2.8,2.5,3.8,3.5,3.0199999999999996,Watchlist or tactical
EWZ,Brazil,Country ETF,0.11385281642516133,0.34528916452218567,0.3297317961967092,-0.5699235462035075,0.04921784058800804,0.4,0.3,0.4,0.37,3,3.2,4,3.5,1.85,3,3.2,4,3.5,2.9775,Watchlist or tactical
EWN,Netherlands,Country ETF,0.13348247561993162,0.21182790212924035,0.6301458602865799,-0.43564986040611253,0.0877181622160583,0.5,0.3,0.7,0.5,2.8,2.5,3.8,3.5,2.5,2.8,2.5,3.8,3.5,2.92,Watchlist or tactical
EWC,Canada,Country ETF,0.1018118418702222,0.1884727222617347,0.5401940431933416,-0.4265757431595808,0.07812540440229578,0.5,0.3,0.7,0.5,2.8,2.5,3.8,3.5,2.5,2.8,2.5,3.8,3.5,2.92,Watchlist or tactical
EWW,Mexico,Country ETF,0.07704244484333356,0.24790061964593732,0.3107795573620147,-0.539874947652289,0.0952811854534482,0.7,0.3,0.4,0.49,2.8,2.5,3.8,3.5,2.45,2.8,2.5,3.8,3.5,2.9074999999999998,Watchlist or tactical
EIDO,Indonesia,Country ETF,-0.010848182622056285,0.25448571615624466,-0.04262786448649208,-0.5941086981715711,0.015979314358988035,0.7,0.3,0.4,0.49,2.8,2.5,3.8,3.5,2.45,2.8,2.5,3.8,3.5,2.9074999999999998,Watchlist or tactical
VNM,Vietnam,Country ETF,0.03418494454783899,0.23533636795521878,0.14525993090172917,-0.5166773908221673,0.022508079957869565,0.7,0.3,0.4,0.49,2.8,2.5,3.8,3.5,2.45,2.8,2.5,3.8,3.5,2.9074999999999998,Watchlist or tactical
EWI,Italy,Country ETF,0.12933729762713422,0.23416037409464902,0.5523449393485138,-0.42998300367029385,0.07917259428373212,0.4,0.3,0.7,0.45999999999999996,2.8,2.5,3.8,3.5,2.3,2.8,2.5,3.8,3.5,2.8699999999999997,Watchlist or tactical
EWP,Spain,Country ETF,0.10546731522036654,0.22233768001435794,0.4743564618176989,-0.46361751056431977,0.07940529821453822,0.4,0.3,0.7,0.45999999999999996,2.8,2.5,3.8,3.5,2.3,2.8,2.5,3.8,3.5,2.8699999999999997,Watchlist or tactical
EWY,South Korea,Country ETF,0.16577398617851333,0.28719992811544554,0.5772076172382511,-0.49734170726944604,0.24455074810873864,0.4,0.3,0.7,0.45999999999999996,2.8,2.5,3.8,3.5,2.3,2.8,2.5,3.8,3.5,2.8699999999999997,Watchlist or tactical
MCHI,China,Country ETF,0.06149349141489066,0.27278791587789686,0.22542600986187336,-0.6283625431371468,0.0698125404007757,0.7,0.3,0.2,0.43,2.8,2.5,3.8,3.5,2.15,2.8,2.5,3.8,3.5,2.8324999999999996,Watchlist or tactical
ECH,Chile,Country ETF,0.06568956116327918,0.2632670067844866,0.24951687629074387,-0.6689393821451404,0.05166127871295754,0.7,0.3,0.2,0.43,2.8,2.5,3.8,3.5,2.15,2.8,2.5,3.8,3.5,2.8324999999999996,Watchlist or tactical
TUR,Turkey,Country ETF,0.055036616982016076,0.3396917467053588,0.1620192940093821,-0.6501709626864671,0.04866192551990748,0.7,0.3,0.2,0.43,2.8,2.5,3.8,3.5,2.15,2.8,2.5,3.8,3.5,2.8324999999999996,Watchlist or tactical
EZA,South Africa,Country ETF,0.10248624837370152,0.3155253380848445,0.32481146837767766,-0.6225209117913424,0.0882094419611294,0.4,0.3,0.2,0.31,2.8,2.5,4,3.5,1.55,2.8,2.5,4,3.5,2.7125,Weak thesis
ARGT,Argentina,Country ETF,0.19509497360009945,0.30547616852335974,0.6386585721012817,-0.6167929798887729,0.11944408453736062,0.4,0.3,0.2,0.31,2.8,2.5,3.8,3.5,1.55,2.8,2.5,3.8,3.5,2.6824999999999997,Weak thesis
EPOL,Poland,Country ETF,0.11880988283325301,0.27139031575304173,0.437782322864339,-0.6140355722425545,0.05904330726431197,0.4,0.3,0.2,0.31,2.8,2.5,3.8,3.5,1.55,2.8,2.5,3.8,3.5,2.6824999999999997,Weak thesis
GREK,Greece,Country ETF,0.14514585344356298,0.3359795437316957,0.43200800808120804,-0.6302365872516731,0.11126050104537007,0.4,0.3,0.2,0.31,2.8,2.5,3.8,3.5,1.55,2.8,2.5,3.8,3.5,2.6824999999999997,Weak thesis
