symbol,country_or_region,category,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket
INDA,India,Country ETF,0.07333896320873881,0.2111693736020617,0.3472992411624163,-0.4506711401628498,0.06270200387847447,1,0.3,0.7,0.7,3.8,4,4,3.5,3.5,3.8,4,4,3.5,3.75,"Attractive, monitor closely"
VWO,Emerging markets,Benchmark,0.0843377769812104,0.19541002609958774,0.43159390879068266,-0.3639235192910977,0.07904330884246727,1,0.3,1,0.79,3.5,3.3,4,4,3.95,3.5,3.3,4,4,3.7225,"Attractive, monitor closely"
EWJ,Japan,Country ETF,0.10107978147765737,0.17768628849671758,0.5688665250021507,-0.33144067151172285,0.12664511840267959,1,0.3,1,0.79,3.2,3.5,4,3.5,3.95,3.2,3.5,4,3.5,3.6125000000000003,"Attractive, monitor closely"
VEA,Developed markets ex-U.S.,Benchmark,0.10035312852820882,0.17358613977829257,0.5781171737350788,-0.3573509686662164,0.09347123859309349,1,0.3,1,0.79,2.8,2.5,4.2,4,3.95,2.8,2.5,4.2,4,3.4175,Watchlist or tactical
EWQ,France,Country ETF,0.09857337539892935,0.20600908759468017,0.4784904226791733,-0.39229370105351447,0.05716871521745717,1,0.3,1,0.79,2.8,2.5,3.8,3.5,3.95,2.8,2.5,3.8,3.5,3.2824999999999998,Watchlist or tactical
EWL,Switzerland,Country ETF,0.09096037650356256,0.1631910041255315,0.5573859722904398,-0.2899386758298297,0.07861667921563156,1,0.3,1,0.79,2.8,2.5,3.8,3.5,3.95,2.8,2.5,3.8,3.5,3.2824999999999998,Watchlist or tactical
EWU,United Kingdom,Country ETF,0.08046694158892292,0.18797730073177113,0.4280673319367584,-0.43330473524839175,0.06165481399703812,1,0.3,0.7,0.7,2.8,2.8,3.8,3.5,3.5,2.8,2.8,3.8,3.5,3.2299999999999995,Watchlist or tactical
EWG,Germany,Country ETF,0.08412793173367565,0.2093831869383913,0.4017893364018256,-0.4680092543193095,0.055074335454584476,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
EWS,Singapore,Country ETF,0.07834562151493579,0.18031596544219802,0.43449076360379313,-0.40837900631041923,0.04287007090809581,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
EWH,Hong Kong,Country ETF,0.06124130965695027,0.19617358755580402,0.31217917977632653,-0.42711884985388826,0.02942469325000884,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
KSA,Saudi Arabia,Country ETF,0.07746273664584467,0.20156400145847198,0.3843083888260883,-0.40561357463434344,0.04804137019704216,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
QAT,Qatar,Country ETF,0.028360453912697006,0.1828319240544493,0.15511762543313254,-0.40288775500014884,0.02182288191437182,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
THD,Thailand,Country ETF,0.04789905126001475,0.21499281901444742,0.22279372622578597,-0.4931788494217174,0.095009693424395,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
EWM,Malaysia,Country ETF,0.023680908338291465,0.1734395474936226,0.1365369587300279,-0.44248054947220883,0.03575953438579458,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical
SPY,United States,Benchmark,0.14548847420652328,0.17550847038717285,0.8289541461194138,-0.3371723575574389,NA,0.5,0.5,1,0.6499999999999999,2.5,2.5,4.2,4,3.2499999999999996,2.5,2.5,4.2,4,3.1675,Watchlist or tactical
